dataset,image_id,candidate_pixels,candidate_pixels_selected_k,candidate_target_leakage_pixels,candidate_far_bg_ratio,candidate_high_evidence_mean,candidate_ohem_overlap_fraction,target_dilate_pixels,far_bg_pixels
NUDT-SIRST,001324,655,655,0,1.0,1.1943028766836505e-05,0.9610778443113772,469,65067
NUDT-SIRST,000793,655,655,0,1.0,2.7382302505429834e-06,0.9494047619047619,204,65332
NUDT-SIRST,000293,654,654,0,1.0,7.147590622480493e-06,0.9150805270863837,667,64869
NUDT-SIRST,000143,654,654,0,1.0,3.071218543482246e-06,0.8766140602582496,698,64838
NUDT-SIRST,001011,654,654,0,1.0,3.4301858704566257e-06,0.871244635193133,702,64834
NUDT-SIRST,000834,654,654,0,1.0,1.3240312910056673e-05,0.8041379310344827,754,64782
NUDT-SIRST,000095,655,655,0,1.0,7.93548588262638e-06,0.9378698224852071,322,65214
NUDT-SIRST,000017,655,655,0,1.0,6.58651401863608e-07,0.9236417033773862,289,65247
NUDT-SIRST,001116,655,655,0,1.0,1.6393229316236102e-06,0.91800878477306,578,64958
NUDT-SIRST,000653,655,655,0,1.0,7.298659056687029e-06,0.9068413391557496,680,64856
NUDT-SIRST,000755,655,655,0,1.0,4.4930802687304094e-06,0.8876080691642652,656,64880
NUDT-SIRST,000705,654,654,0,1.0,3.5275488698971458e-06,0.8793103448275862,750,64786
NUDT-SIRST,000723,654,654,0,1.0,9.113527426052315e-07,0.8820143884892087,756,64780
NUDT-SIRST,000738,654,654,0,1.0,2.3533137209597044e-05,0.9235294117647059,820,64716
NUDT-SIRST,001266,654,654,0,1.0,9.4780363724567e-05,0.9464285714285714,600,64936
NUDT-SIRST,000364,655,655,0,1.0,2.0993261387047824e-06,0.9878603945371776,855,64681
NUDT-SIRST,000791,655,655,0,1.0,1.2206473911646754e-06,0.7969821673525377,646,64890
NUDT-SIRST,000048,655,655,0,1.0,1.1753552371374099e-06,0.8118948824343015,1156,64380
NUDT-SIRST,000228,654,654,0,1.0,3.92849915442639e-06,0.7868852459016393,842,64694
NUDT-SIRST,000956,654,654,0,1.0,4.996335064788582e-06,0.8632478632478633,693,64843
NUDT-SIRST,000570,654,654,0,1.0,2.1894828023505397e-05,0.9493293591654247,625,64911
NUDT-SIRST,000116,655,655,0,1.0,2.565925797171076e-06,0.9096209912536443,572,64964
NUDT-SIRST,000350,655,655,0,1.0,1.606828959666018e-06,1.0,285,65251
NUDT-SIRST,000276,654,654,0,1.0,9.933288311003707e-06,0.844851904090268,715,64821
NUDT-SIRST,001022,654,654,0,1.0,8.404848631471395e-05,0.7370517928286853,626,64910
NUDT-SIRST,000369,655,655,0,1.0,3.2299540180247277e-06,0.9969512195121951,285,65251
NUDT-SIRST,001225,655,655,0,1.0,3.58198190042458e-06,0.9407407407407408,289,65247
