image_id,candidate_pixels,base_candidate_pixels,far_pixels,ohem_budget,ohem_pixels,candidate_to_budget_ratio,target_leakage_pixels,target_top20_rate,selected_ohem_overlap,nonflat_candidate_ratio,candidate_pstd_mean,ohem_pstd_mean,pstd_enrichment_vs_ohem
000793,0,0,65332,653,653,0.0,0,1.0,0.0,0.0,0.0,1.2640341218173035e-08,0.0
000293,0,0,64869,648,648,0.0,0,1.0,0.0,0.0,0.0,1.8940813362178233e-08,0.0
000143,0,0,64838,648,648,0.0,0,1.0,0.0,0.0,0.0,1.5387377061415464e-07,0.0
001011,0,0,64834,648,648,0.0,0,1.0,0.0,0.0,0.0,6.871226077009851e-08,0.0
000834,0,0,64782,647,647,0.0,0,1.0,0.0,0.0,0.0,1.8927053702100238e-08,0.0
000095,0,0,65214,652,652,0.0,0,1.0,0.0,0.0,0.0,2.0970225023120292e-07,0.0
000017,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.0156838925468037e-08,0.0
001116,0,0,64958,649,649,0.0,0,1.0,0.0,0.0,0.0,2.0831704361512493e-08,0.0
000653,0,0,64856,648,648,0.0,0,1.0,0.0,0.0,0.0,3.528425907006749e-08,0.0
000755,0,0,64880,648,648,0.0,0,1.0,0.0,0.0,0.0,2.2665609833438793e-08,0.0
000705,0,0,64786,647,647,0.0,0,1.0,0.0,0.0,0.0,8.413314489530421e-09,0.0
000723,0,0,64780,647,647,0.0,0,1.0,0.0,0.0,0.0,7.950927027877697e-08,0.0
000738,0,0,64716,647,647,0.0,0,1.0,0.0,0.0,0.0,1.1544192801693498e-07,0.0
001266,0,0,64936,649,649,0.0,0,1.0,0.0,0.0,0.0,6.734820203746494e-07,0.0
000364,0,0,64681,646,646,0.0,0,1.0,0.0,0.0,0.0,2.9169251902771975e-08,0.0
000791,0,0,64890,648,648,0.0,0,1.0,0.0,0.0,0.0,6.651059720752528e-07,0.0
000048,0,0,64380,643,643,0.0,0,1.0,0.0,0.0,0.0,1.4018303851059954e-08,0.0
000228,0,0,64694,646,646,0.0,0,1.0,0.0,0.0,0.0,1.1855726178566783e-08,0.0
000956,0,0,64843,648,648,0.0,0,1.0,0.0,0.0,0.0,3.5492970340555985e-08,0.0
000570,0,0,64911,649,649,0.0,0,1.0,0.0,0.0,0.0,2.195226898038527e-07,0.0
000116,0,0,64964,649,649,0.0,0,1.0,0.0,0.0,0.0,4.665297836936588e-08,0.0
000350,0,0,65251,652,652,0.0,0,1.0,0.0,0.0,0.0,2.739524695982709e-08,0.0
000276,0,0,64821,648,648,0.0,0,1.0,0.0,0.0,0.0,8.935186457392774e-08,0.0
001022,0,0,64910,649,649,0.0,0,1.0,0.0,0.0,0.0,2.2016781997535873e-07,0.0
000369,0,0,65251,652,652,0.0,0,1.0,0.0,0.0,0.0,3.365676448652266e-08,0.0
001225,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,6.134538210744722e-08,0.0
000129,0,0,65181,651,651,0.0,0,1.0,0.0,0.0,0.0,6.448289724403367e-08,0.0
000947,0,0,64888,648,648,0.0,0,1.0,0.0,0.0,0.0,3.550704974486507e-08,0.0
000800,0,0,64874,648,648,0.0,0,1.0,0.0,0.0,0.0,2.4735310688583922e-08,0.0
000154,0,0,64873,648,648,0.0,0,1.0,0.0,0.0,0.0,1.8535386558937716e-08,0.0
001168,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,2.4343751903188604e-08,0.0
000602,0,0,64960,649,649,0.0,0,1.0,0.0,0.0,0.0,2.892815871291532e-07,0.0
000210,0,0,64746,647,647,0.0,0,1.0,0.0,0.0,0.0,2.2528853449443886e-08,0.0
001284,0,0,65032,650,650,0.0,0,1.0,0.0,0.0,0.0,3.881154242435514e-08,0.0
000534,0,0,65181,651,651,0.0,0,1.0,0.0,0.0,0.0,1.1269613686692992e-08,0.0
000814,0,0,64828,648,648,0.0,0,1.0,0.0,0.0,0.0,1.9803321205102975e-09,0.0
000846,0,0,64822,648,648,0.0,0,1.0,0.0,0.0,0.0,8.90739144665531e-08,0.0
001132,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,6.2442047088495656e-09,0.0
000257,0,0,64923,649,649,0.0,0,1.0,0.0,0.0,0.0,3.534633918889085e-08,0.0
000688,0,0,64793,647,647,0.0,0,1.0,0.0,0.0,0.0,2.0514287157880062e-08,0.0
001056,0,0,64820,648,648,0.0,0,1.0,0.0,0.0,0.0,1.580794162236998e-08,0.0
000430,0,0,64463,644,644,0.0,0,1.0,0.0,0.0,0.0,1.9658335403960336e-08,0.0
000900,0,0,64915,649,649,0.0,0,1.0,0.0,0.0,0.0,1.1192394566705843e-08,0.0
000471,0,0,64821,648,648,0.0,0,1.0,0.0,0.0,0.0,2.723841419083328e-07,0.0
000833,0,0,65194,651,651,0.0,0,1.0,0.0,0.0,0.0,2.016965927609249e-09,0.0
000171,0,0,65163,651,651,0.0,0,1.0,0.0,0.0,0.0,1.198075096908724e-07,0.0
000567,0,0,64964,649,649,0.0,0,1.0,0.0,0.0,0.0,1.0240526080451673e-06,0.0
001043,0,0,64886,648,648,0.0,0,1.0,0.0,0.0,0.0,3.411090787608373e-08,0.0
000798,0,0,64890,648,648,0.0,0,1.0,0.0,0.0,0.0,8.24463552984156e-10,0.0
001085,0,0,64956,649,649,0.0,0,1.0,0.0,0.0,0.0,6.622455543947581e-07,0.0
000895,0,0,64968,649,649,0.0,0,1.0,0.0,0.0,0.0,1.6535031122089094e-08,0.0
001121,0,0,64958,649,649,0.0,0,1.0,0.0,0.0,0.0,2.726460168744893e-09,0.0
000979,0,0,64929,649,649,0.0,0,1.0,0.0,0.0,0.0,1.1635427199507831e-07,0.0
000363,0,0,65251,652,652,0.0,0,1.0,0.0,0.0,0.0,4.2992827076204776e-08,0.0
000311,0,0,64965,649,649,0.0,0,1.0,0.0,0.0,0.0,1.6310884802805958e-06,0.0
000229,0,0,64708,647,647,0.0,0,1.0,0.0,0.0,0.0,9.218938146204891e-08,0.0
000234,0,0,64983,649,649,0.0,0,1.0,0.0,0.0,0.0,6.490996895536227e-08,0.0
001073,0,0,64768,647,647,0.0,0,1.0,0.0,0.0,0.0,4.7520313017912486e-08,0.0
000716,0,0,64768,647,647,0.0,0,1.0,0.0,0.0,0.0,5.6582454277531724e-08,0.0
001005,0,0,64948,649,649,0.0,0,1.0,0.0,0.0,0.0,1.792491133301155e-08,0.0
001119,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,2.6041284684197308e-08,0.0
001327,0,0,65083,650,650,0.0,0,1.0,0.0,0.0,0.0,1.3582410929302569e-07,0.0
000754,0,0,65201,652,652,0.0,0,1.0,0.0,0.0,0.0,3.76880606722807e-08,0.0
000245,0,0,64924,649,649,0.0,0,1.0,0.0,0.0,0.0,1.7515594308292748e-08,0.0
000780,0,0,65200,652,652,0.0,0,1.0,0.0,0.0,0.0,2.213520701843663e-06,0.0
000277,0,0,64821,648,648,0.0,0,1.0,0.0,0.0,0.0,1.9485071334202075e-08,0.0
