image_name,evidence_mIoU,final_mIoU,evidence_Pd,final_Pd,evidence_Precision,final_Precision,evidence_FA_ppm,final_FA_ppm,evidence_FP_components,final_FP_components,residual_new_fp_pixels,residual_new_fp_components,residual_removed_fp_pixels,residual_removed_fp_components,residual_lost_target_pixels,residual_boundary_excess_pixels,delta_mean_target,delta_mean_boundary,delta_mean_far_bg,delta_positive_far_bg_ratio
000560,0.971830985915493,0.971830985915493,1.0,1.0,0.971830985915493,0.971830985915493,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0.49750906229019165,0.15125621855258942,0.0004498161724768579,0.6240960123886953
000550,0.7428571428571429,0.6933333333333334,1.0,1.0,0.7878787878787878,0.7323943661971831,213.623046875,289.9169921875,3,3,5,3,0,0,0,0,0.473097026348114,0.07354885339736938,0.0073884944431483746,0.6127775372626632
000498,0.853448275862069,0.8879310344827587,1.0,1.0,0.9801980198019802,0.9809523809523809,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0.4711679518222809,0.1496584415435791,0.0006316247163340449,0.5973059974372598
000243,0.9818181818181818,0.9818181818181818,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4869159460067749,0.1474968045949936,0.0005481758853420615,0.5063130531658104
000433,0.9827586206896551,0.9661016949152542,1.0,1.0,1.0,0.9827586206896551,0.0,15.2587890625,0,0,1,1,0,0,0,1,0.4895821809768677,0.15182143449783325,0.0005779697676189244,0.6141216885367665
000106,0.38095238095238093,0.38095238095238093,1.0,1.0,0.5714285714285714,0.5714285714285714,91.552734375,91.552734375,0,0,0,0,0,0,0,0,0.4819391667842865,0.15931938588619232,0.001305727637372911,0.643693908652884
000036,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4944431483745575,0.16205619275569916,0.00011280290345894173,0.4687341363237805
000574,0.9482758620689655,0.9482758620689655,1.0,1.0,0.9482758620689655,0.9482758620689655,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0.49678975343704224,0.15212376415729523,0.0011022890685126185,0.6334406139753667
000837,0.5098039215686274,0.5,1.0,1.0,0.7027027027027027,0.6842105263157895,167.8466796875,183.10546875,0,0,1,1,0,0,0,1,0.4697538912296295,0.15689054131507874,0.00017299794126302004,0.5709932209714534
000608,0.7209302325581395,0.7209302325581395,1.0,1.0,0.7560975609756098,0.7560975609756098,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0.48981353640556335,0.1390884965658188,0.0015156245790421963,0.6477632208385414
000341,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49937501549720764,0.16431744396686554,0.00028248061425983906,0.6119118303056406
000863,0.48717948717948717,0.525,1.0,1.0,0.5428571428571428,0.5526315789473685,244.140625,259.3994140625,1,1,1,1,0,0,0,0,0.4727051258087158,0.2897774279117584,0.0023847068659961224,0.5922388427587695
000907,0.9104477611940298,0.9253731343283582,1.0,1.0,0.9838709677419355,0.9841269841269841,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.48778292536735535,0.20358175039291382,0.003867737716063857,0.751771839766753
000600,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49168285727500916,0.1247958093881607,0.0003244019753765315,0.5485617911463894
000361,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49915727972984314,0.135946586728096,0.0005220147431828082,0.6009290735414007
000555,0.9135802469135802,0.9135802469135802,1.0,1.0,0.9866666666666667,0.9866666666666667,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.4821447730064392,0.13179007172584534,0.0012835023226216435,0.5417112382369812
