image_name,teacher_student_absdiff_all_pixels,teacher_student_absdiff_target,teacher_student_absdiff_target_boundary,teacher_student_absdiff_far_background,teacher_student_absdiff_ohem_negatives,teacher_student_absdiff_topk_far_evidence,teacher_student_absdiff_detached_fp_components,teacher_rank_disagreement_topk_far,teacher_lower_than_student_on_high_far_rate,teacher_preserves_target_rate,per_checkpoint_variance_topk_far,per_checkpoint_variance_target,topk_far_pixels,ohem_negative_pixels,detached_fp_pixels,target_pixels,informative_topk_far
000163,2.1370609164217242e-05,0.026796963256360454,0.0008201946557614042,6.347028263715391e-08,4.0645584307328506e-06,4.0645584307328506e-06,nan,0.6386554621848739,0.8611111111111112,1.0,4.6539012153809356e-11,0.0037198313417950084,324,324,0,44,0
000164,2.478636618839445e-05,0.028283525131304155,0.001365468627246452,6.769069326569355e-08,1.5317037062240396e-06,1.5317037062240396e-06,nan,0.6721311475409837,0.8981481481481481,0.8409090909090909,2.722950184018112e-12,0.006283453676932868,324,324,0,44,0
000165,2.7506829234872273e-05,0.028859893706711857,0.001999454175298679,4.599936578278069e-08,1.0521005925233517e-06,1.0521005925233517e-06,nan,0.7244094488188977,0.8117283950617284,0.9772727272727273,2.0454655118156854e-12,0.0036313378136501443,324,324,0,44,0
000168,2.6173559573744374e-05,0.01906641240677108,0.0032945649993291618,7.25928833297673e-08,2.3610359742908683e-06,2.3610359742908683e-06,nan,0.6471816283924843,0.9228395061728395,0.8260869565217391,4.14340476319334e-12,0.0024834204668352654,324,324,0,46,0
000171,4.514686620178092e-06,0.005862987048559538,0.0010780141907687053,2.3742710399225392e-07,2.276000429376906e-05,2.276000429376906e-05,nan,0.32041343669250644,0.8707692307692307,1.0,9.215760653294009e-10,0.0001010006411428136,325,325,0,23,0
000172,1.761284929124928e-05,0.01524838891395546,0.0015184369421849936,7.470245580786878e-08,1.5886387263244727e-06,1.5886387263244727e-06,nan,0.8611599297012302,0.8209876543209876,0.9787234042553191,5.998594154991005e-12,0.002818769426444767,324,324,0,47,0
000174,1.3086802857201756e-05,0.008057481857273766,0.0016129611716999219,2.966516792450924e-07,2.7160315623944e-05,2.7160315623944e-05,nan,0.276595744680851,0.9444444444444444,0.9166666666666666,6.553269838621588e-10,0.0005582147551040176,324,324,0,48,0
000175,4.104282616572483e-06,0.007169925724156201,0.0006438832717345421,9.373115746406568e-08,7.495102468405653e-07,7.495102468405653e-07,nan,0.9326765188834154,0.7138461538461538,0.9583333333333334,3.304864241637119e-12,0.001266847801272471,325,325,0,24,0
000177,1.8373476729549664e-05,0.01117542142572347,0.0023285753194060483,7.699958617993151e-08,3.9682737704222545e-06,3.9682737704222545e-06,nan,0.5882352941176471,0.9506172839506173,0.88,2.5848473866197223e-11,0.0030965412968964046,324,324,0,50,0
000179,2.4007743274792492e-05,0.010286033563315868,0.0038911621453687844,7.033887128679689e-08,1.5457037451902961e-06,1.5457037451902961e-06,nan,0.8282097649186257,0.9012345679012346,0.9,3.482775762085261e-12,0.004830115667676704,324,324,0,50,0
000180,0.0001075213979078613,0.06941868999972939,0.013239964906192798,1.1940806241812728e-08,7.1625019853136e-07,7.1625019853136e-07,nan,0.6004319654427646,1.0,0.74,3.606065000954231e-13,0.012052159142579254,324,324,0,50,0
000181,1.89432043101898e-05,0.011901306994259358,0.0024759856895540918,4.0684619165747186e-08,5.706081713906258e-07,5.706081713906258e-07,nan,0.7727272727272727,0.8271604938271605,0.88,1.3320450870140691e-12,0.0013994237919706621,324,324,0,50,0
000183,0.0001248604402237967,0.045937597695692424,0.01939088410297202,5.0200433326823046e-08,1.9431474348258e-06,1.9431474348258e-06,nan,0.5103448275862069,0.8580246913580247,0.7647058823529411,8.605292435195569e-12,0.008848508952247243,324,324,0,51,0
000184,1.730327534377351e-05,0.011800533268027581,0.0018106957724584245,6.648110167028117e-08,4.044386869323986e-06,4.044386869323986e-06,nan,0.6212765957446809,0.9104938271604939,0.9038461538461539,1.424189063359417e-10,0.0010675967966187366,324,324,0,52,0
000185,3.174166543071965e-05,0.019777587893678665,0.0036732682397788512,7.536816417075623e-08,7.43500902936033e-06,7.43500902936033e-06,nan,0.47887323943661975,0.9938271604938271,0.8846153846153846,1.3329906352192008e-10,0.005549589524725866,324,324,0,52,0
000190,2.95082505329826e-05,0.01754689413421559,0.0033707867524562837,9.412602229978952e-08,1.259857374989617e-06,1.259857374989617e-06,nan,0.8998302207130731,0.7561728395061729,0.9811320754716981,4.4145185124570145e-12,0.001610866949101906,324,324,0,53,0
000193,2.484231712699517e-05,0.01565834560317723,0.002669035416286437,5.967290825274186e-08,4.620549102835665e-06,4.620549102835665e-06,nan,0.35532994923857864,0.9382716049382716,0.8392857142857143,3.7143164966622065e-11,0.0014607541166238144,324,324,0,56,0
000196,1.2194337706192457e-05,0.020380885797619288,0.001560191621996345,3.490388399503195e-08,4.0797084405032647e-07,4.0797084405032647e-07,nan,0.7279843444227005,0.7323076923076923,1.0,6.088921079442982e-13,0.0012739032952617485,325,325,0,28,0
