image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000644,0.6590909090909091,0.6590909090909091,1.0,1.0,0.7435897435897436,0.7435897435897436,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0,0.0,0.09212053567171097,nan,4.48349235003336e-15
001190,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.12025460600852966,nan,3.2842585505086304e-16
001026,0.94,0.94,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.12480536103248596,nan,9.520950759136815e-17
001089,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9459459459459459,0.9459459459459459,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.04334783926606178,nan,1.1315806215769948e-14
000720,0.23076923076923078,0.23076923076923078,1.0,1.0,0.2647058823529412,0.2647058823529412,762.939453125,762.939453125,1,1,0,0,0,0,0,0,0,0.0,0.050157997757196426,nan,0.0001343319017905742
000195,0.7741935483870968,0.7741935483870968,1.0,1.0,0.8888888888888888,0.8888888888888888,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.026232659816741943,nan,4.752795040668077e-16
000519,0.7272727272727273,0.7272727272727273,1.0,1.0,0.8888888888888888,0.8888888888888888,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.05441359430551529,nan,1.4581555407566782e-10
001111,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1041330024600029,nan,6.742776977497651e-15
000922,0.9032258064516129,0.9032258064516129,1.0,1.0,0.9032258064516129,0.9032258064516129,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.011978616006672382,nan,1.789318587545389e-16
000965,0.8941176470588236,0.8941176470588236,1.0,1.0,0.95,0.95,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.04654891788959503,nan,6.4681718606131224e-15
000080,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.21359650790691376,nan,9.847874062442544e-14
000751,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.16165776550769806,nan,9.48317335438707e-15
000281,0.9841269841269841,0.9841269841269841,1.0,1.0,0.9841269841269841,0.9841269841269841,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.04988224059343338,nan,1.4096150784034247e-15
000849,0.7916666666666666,0.7916666666666666,1.0,1.0,0.8636363636363636,0.8636363636363636,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.03981337696313858,nan,1.3853280603551548e-14
000495,0.8421052631578947,0.8421052631578947,1.0,1.0,0.9795918367346939,0.9795918367346939,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.04368573799729347,nan,9.309218028602864e-14
001257,0.9054054054054054,0.9054054054054054,1.0,1.0,0.9436619718309859,0.9436619718309859,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.027339886873960495,nan,1.8587468803704654e-12
000966,0.9137931034482759,0.9137931034482759,1.0,1.0,0.9814814814814815,0.9814814814814815,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.036673810333013535,nan,3.8477370623013485e-08
001267,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.01698816753923893,nan,8.8726569494324e-12
000091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0887078270316124,nan,9.75781425841362e-16
000935,0.8412698412698413,0.8412698412698413,1.0,1.0,0.8688524590163934,0.8688524590163934,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.15998174250125885,nan,3.412260316613128e-16
000314,0.9516129032258065,0.9516129032258065,1.0,1.0,0.9672131147540983,0.9672131147540983,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.0033176480792462826,nan,1.8428065741123503e-15
000128,0.6086956521739131,0.6086956521739131,1.0,1.0,0.7368421052631579,0.7368421052631579,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0,0.0,0.15586167573928833,nan,1.1609762859125686e-15
001169,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.10887037217617035,nan,3.107565360129015e-17
000701,0.5076923076923077,0.5076923076923077,1.0,1.0,0.66,0.66,259.3994140625,259.3994140625,0,0,0,0,0,0,0,0,0,0.0,0.061300698667764664,nan,1.1112634368259933e-08
000903,0.9142857142857143,0.9142857142857143,1.0,1.0,0.9142857142857143,0.9142857142857143,91.552734375,91.552734375,0,0,0,0,0,0,0,0,0,0.0,0.03338120877742767,nan,1.2450702727813471e-16
000144,0.7391304347826086,0.7391304347826086,1.0,1.0,0.85,0.85,91.552734375,91.552734375,0,0,0,0,0,0,0,0,0,0.0,0.0987023338675499,nan,6.387287837446862e-15
