image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000483,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9193548387096774,0.9193548387096774,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.0028777411207556725,nan,3.0347564196862853e-15
000528,0.375,0.375,1.0,1.0,0.39473684210526316,0.39473684210526316,350.9521484375,350.9521484375,1,1,0,0,0,0,0,0,0,0.0,0.07109420001506805,nan,7.598521915497258e-05
000889,0.8918918918918919,0.8918918918918919,1.0,1.0,0.9166666666666666,0.9166666666666666,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.01235159020870924,nan,2.2042877046413552e-16
000060,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.11397746205329895,nan,1.0609049944924179e-16
001326,0.8529411764705882,0.8529411764705882,1.0,1.0,0.8787878787878788,0.8787878787878788,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.026154426857829094,nan,2.526655024188084e-15
000520,0.8518518518518519,0.8518518518518519,1.0,1.0,0.8518518518518519,0.8518518518518519,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.03550877794623375,nan,3.089646594123252e-13
000269,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.03097408637404442,nan,1.058103922710297e-15
000706,0.7540983606557377,0.7540983606557377,1.0,1.0,0.8070175438596491,0.8070175438596491,167.8466796875,167.8466796875,0,0,0,0,0,0,0,0,0,0.0,0.05201239511370659,nan,2.653179300134774e-16
001020,0.8695652173913043,0.8695652173913043,1.0,1.0,0.8695652173913043,0.8695652173913043,91.552734375,91.552734375,0,0,0,0,0,0,0,0,0,0.0,0.017915401607751846,nan,9.659468862797949e-14
000502,0.9076923076923077,0.9076923076923077,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.04231710731983185,nan,2.138771236124496e-14
000492,0.8636363636363636,0.8636363636363636,1.0,1.0,0.9382716049382716,0.9382716049382716,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.04939383268356323,nan,3.1218305593938567e-06
001153,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.104977086186409,nan,9.163131408154723e-13
000521,0.6766917293233082,0.6766917293233082,1.0,1.0,0.9,0.9,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0,0.0,0.08996293693780899,nan,9.811895219924427e-13
