image_id,bg_reconstruction_error,target_residual_mean,background_residual_mean,target_residual_bg_ratio,candidate_pixels,far_pixels,ohem_budget,candidate_to_budget_ratio,target_leakage_pixels,flat_candidate_ratio,residual_auroc_target_vs_far
001140,0.16031768918037415,0.8527185916900635,0.16031768918037415,5.318930157050018,0,65247,652,0.0,0,0.0,0.9396158854166666
000873,0.3173227906227112,1.0904197692871094,0.31732282042503357,3.4363105931888605,0,64794,647,0.0,0,0.0,0.9526711488381411
001249,0.2979082763195038,2.0180652141571045,0.29790830612182617,6.77411529885924,0,64936,649,0.0,0,0.0,0.9772752331149194
000822,0.08563513308763504,1.1080483198165894,0.08563513308763504,12.939179047957616,0,64840,648,0.0,0,0.0,0.979113127055921
000745,0.5504456758499146,2.429213523864746,0.5504456758499146,4.41317577817997,0,64702,647,0.0,0,0.0,0.92730712890625
000609,0.400296151638031,2.154048442840576,0.400296151638031,5.381137025739835,0,65172,651,0.0,0,0.0,0.9742780412946429
000881,0.10681493580341339,1.4519888162612915,0.10681493580341339,13.593499872841674,0,64768,647,0.0,0,0.0,0.9928701895254629
001271,0.30077725648880005,1.2096983194351196,0.30077722668647766,4.021907950817292,0,64869,648,0.0,0,0.0,0.92232666015625
000851,0.06923384219408035,1.2061083316802979,0.06923384964466095,17.420789655213234,0,64766,647,0.0,0,0.0,0.9915132068452381
000848,0.0939021110534668,1.3313392400741577,0.0939021185040474,14.177946794850788,0,64808,648,0.0,0,0.0,0.9852992466517857
001016,0.34752750396728516,0.43792724609375,0.34752756357192993,1.2601223384777924,0,64768,647,0.0,0,0.0,0.6982024436773255
001100,0.43233442306518555,1.9171502590179443,0.43233442306518555,4.434415019339981,0,64766,647,0.0,0,0.0,0.9746623211596386
000004,0.258045494556427,0.9267726540565491,0.2580455243587494,3.5915083447372553,0,65247,652,0.0,0,0.0,0.8910590277777778
001208,0.17536303400993347,0.6650373935699463,0.17536301910877228,3.792346852545029,0,65247,652,0.0,0,0.0,0.9455023871527778
000099,0.22156865894794464,0.4969106912612915,0.22156864404678345,2.2426941023133695,0,64890,648,0.0,0,0.0,0.7908365885416667
000073,0.1438361555337906,0.9589194059371948,0.1438361555337906,6.666748025755746,0,65247,652,0.0,0,0.0,0.9762369791666666
000049,0.16168665885925293,0.9135907292366028,0.16168664395809174,5.6503784534819115,0,65247,652,0.0,0,0.0,0.9682888454861112
000158,0.1866002380847931,1.5284645557403564,0.18660025298595428,8.191117274934276,0,64794,647,0.0,0,0.0,0.9893798828125
001279,0.2753410041332245,2.522386074066162,0.2753410041332245,9.16095327685265,0,65065,650,0.0,0,0.0,0.996435546875
000063,0.2195654958486557,0.8728339672088623,0.2195655107498169,3.975278103688196,0,65247,652,0.0,0,0.0,0.891845703125
001181,0.21068845689296722,0.9413914084434509,0.21068847179412842,4.46816762410864,0,65247,652,0.0,0,0.0,0.9298231336805556
000515,0.6030300855636597,1.0177874565124512,0.6030300855636597,1.6877888531234932,0,64355,643,0.0,0,0.0,0.6423526210639313
001054,0.49614158272743225,2.805622100830078,0.49614158272743225,5.654881990351969,0,64838,648,0.0,0,0.0,0.996201913568038
000844,0.06713531166315079,0.9146665930747986,0.06713531166315079,13.624225022803321,0,64852,648,0.0,0,0.0,0.9807373046875
001177,0.22239291667938232,0.8978074193000793,0.2223929464817047,4.037031900082937,0,64669,646,0.0,0,0.0,0.9521213107638888
000934,0.16062216460704803,1.1414085626602173,0.16062216460704803,7.106170966208811,0,64949,649,0.0,0,0.0,0.9661656821646342
000663,0.4977465569972992,1.8742475509643555,0.4977465271949768,3.765465851718895,0,64854,648,0.0,0,0.0,0.7912661903782895
000841,0.16112206876277924,1.2164758443832397,0.16112208366394043,7.550025525492198,0,64838,648,0.0,0,0.0,0.97181396484375
000205,0.18977925181388855,1.2426209449768066,0.18977928161621094,6.547716559965427,0,64829,648,0.0,0,0.0,0.9529378255208333
000911,0.12365972250699997,1.4972879886627197,0.12365972995758057,12.108129212123783,0,64939,649,0.0,0,0.0,0.977490234375
000211,0.21578548848628998,1.8914071321487427,0.21578548848628998,8.765219317650798,0,64732,647,0.0,0,0.0,0.9804608744959677
000267,0.27007269859313965,1.4835946559906006,0.27007269859313965,5.493315924634104,0,64337,643,0.0,0,0.0,0.9744233630952381
000379,0.1488928496837616,1.5534663200378418,0.1488928496837616,10.433451460814268,0,65251,652,0.0,0,0.0,0.996728515625
000168,0.17921636998653412,1.1105904579162598,0.17921636998653412,6.1969253031947185,0,64849,648,0.0,0,0.0,0.9446649966032609
000301,0.36426934599876404,0.886890709400177,0.36426931619644165,2.434711544361585,0,64961,649,0.0,0,0.0,0.8603740985576923
001061,0.4169624149799347,1.2315670251846313,0.41696232557296753,2.9536649947744733,0,64886,648,0.0,0,0.0,0.8902839781746031
001299,0.3838265836238861,2.123424530029297,0.3838265538215637,5.532250202304792,0,64911,649,0.0,0,0.0,0.9949555732834507
000818,0.09511134028434753,1.087626338005066,0.09511134028434753,11.435296093541186,0,65182,651,0.0,0,0.0,0.9824490017361112
001070,0.14077836275100708,1.3208705186843872,0.14077836275100708,9.382624523205987,0,64914,649,0.0,0,0.0,0.9804820667613636
001305,0.32556790113449097,2.179567575454712,0.32556790113449097,6.694663595089309,0,65155,651,0.0,0,0.0,0.98333740234375
001095,0.2707713842391968,1.3996385335922241,0.2707713842391968,5.169078473801342,0,64957,649,0.0,0,0.0,0.9922318892045454
000695,0.39766642451286316,0.9902644157409668,0.39766642451286316,2.490188647316729,0,65149,651,0.0,0,0.0,0.8214164402173914
000375,0.15368473529815674,1.7260011434555054,0.15368473529815674,11.230791009315071,0,64966,649,0.0,0,0.0,0.991015625
000061,0.29218247532844543,0.8134582042694092,0.29218247532844543,2.784075955804646,0,64380,643,0.0,0,0.0,0.8511284722222222
