image_name,target_components,ohem_mIoU,candidate_mIoU,per_image_delta_mIoU,ohem_Pd,candidate_Pd,per_image_delta_Pd,ohem_Precision,candidate_Precision,per_image_delta_precision,ohem_FA_ppm,candidate_FA_ppm,per_image_delta_FA,ohem_FP_components,candidate_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,candidate_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,candidate_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,candidate_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_candidate,target_prob_delta,far_bg_prob_ohem,far_bg_prob_candidate,far_bg_prob_delta
000163,2,0.7647058823529411,0.5,-0.2647058823529411,1.0,1.0,0.0,0.8478260869565217,0.6744186046511628,-0.17340748230535896,106.8115234375,213.623046875,106.8115234375,0,0,0,0,0,11,13,0,0,0,2,7,14,7,0,0,0,0,0,0,0.8719774484634399,0.6844378709793091,-0.18753957748413086,7.635809140538186e-08,3.86800955709532e-08,-3.767799583442866e-08
000836,2,0.7083333333333334,0.4444444444444444,-0.26388888888888895,1.0,1.0,0.0,0.8095238095238095,0.631578947368421,-0.17794486215538852,122.0703125,213.623046875,91.552734375,0,0,0,0,0,10,11,0,0,0,2,8,14,6,0,0,0,0,0,0,0.834151566028595,0.6062497496604919,-0.22790181636810303,9.305796133673994e-09,4.23121226944545e-09,-5.0745838642285435e-09
000124,2,0.723404255319149,0.46,-0.26340425531914896,1.0,1.0,0.0,0.7555555555555555,0.6216216216216216,-0.13393393393393394,167.8466796875,213.623046875,45.7763671875,0,0,0,0,0,11,13,0,0,0,2,11,14,3,0,0,0,0,0,0,0.9265740513801575,0.6933048963546753,-0.23326915502548218,2.821502960159705e-07,4.541236009458771e-08,-2.3673793236866914e-07
000623,1,0.8823529411764706,0.6190476190476191,-0.2633053221288515,1.0,1.0,0.0,0.8823529411764706,0.6842105263157895,-0.19814241486068107,30.517578125,91.552734375,61.03515625,0,0,0,0,0,2,3,0,0,0,1,2,6,4,0,0,0,0,0,0,0.9892691969871521,0.8446940183639526,-0.14457517862319946,1.740620803047932e-07,1.8842995075374347e-07,1.436787044895027e-08
000166,2,0.6862745098039216,0.423728813559322,-0.26254569624459956,1.0,1.0,0.0,0.8536585365853658,0.6410256410256411,-0.21263289555972475,91.552734375,213.623046875,122.0703125,0,0,0,0,0,10,11,0,0,0,2,6,14,8,0,0,0,0,0,0,0.7671018838882446,0.5871946215629578,-0.17990726232528687,1.060117114093373e-07,2.5572461481715436e-08,-8.043924992762186e-08
000849,1,0.7916666666666666,0.5357142857142857,-0.25595238095238093,1.0,1.0,0.0,0.8636363636363636,0.6818181818181818,-0.18181818181818188,45.7763671875,106.8115234375,61.03515625,0,0,0,0,0,4,6,0,0,0,1,3,7,4,0,0,0,0,0,0,0.922573983669281,0.7382504940032959,-0.1843234896659851,6.236582095198173e-08,1.8442237958993246e-08,-4.3923584769345325e-08
000157,1,0.7727272727272727,0.5172413793103449,-0.25548589341692785,1.0,1.0,0.0,0.9444444444444444,0.6521739130434783,-0.29227053140096615,15.2587890625,122.0703125,106.8115234375,0,0,0,0,0,3,3,0,0,0,1,1,8,7,0,0,0,0,0,0,0.7594779133796692,0.6735533475875854,-0.08592456579208374,5.378407408329622e-08,6.627514181900551e-08,1.2491067735709294e-08
000550,1,0.9482758620689655,0.6933333333333334,-0.25494252873563217,1.0,1.0,0.0,0.9649122807017544,0.7323943661971831,-0.23251791450457127,30.517578125,289.9169921875,259.3994140625,0,3,3,0,0,3,5,0,3,1,0,2,0,-2,0,8,8,0,11,11,0.9774874448776245,0.9222989678382874,-0.05518847703933716,1.2782604699168587e-06,0.00019724125741049647,0.0001959630026249215
000808,2,0.6585365853658537,0.40425531914893614,-0.25428126621691755,1.0,1.0,0.0,0.7941176470588235,0.59375,-0.20036764705882348,106.8115234375,198.3642578125,91.552734375,0,0,0,0,0,8,10,0,0,0,2,7,13,6,0,0,0,0,0,0,0.7829619646072388,0.5695109963417053,-0.21345096826553345,4.19069401402794e-08,1.723637588213478e-08,-2.4670564258144623e-08
000920,1,0.9636363636363636,0.7162162162162162,-0.2474201474201474,1.0,1.0,0.0,1.0,0.7361111111111112,-0.26388888888888884,0.0,289.9169921875,289.9169921875,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,19,19,0,0,0,0.9583491086959839,0.952080249786377,-0.006268858909606934,2.0506713838130963e-07,0.0002824508701451123,0.00028224580455571413
