image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
XDU747,0.5,0.35294117647058826,0.35294117647058826,1.0,1,1,3.814697265625e-05,38.14697265625,0.375,0.8571428571428571,0.5217391304347825,10,7,1,7,0.8570197820663452,3.897847273037769e-05
XDU209,0.5,0.5357142857142857,0.5357142857142857,1.0,1,1,0.0,0.0,1.0,0.5357142857142857,0.6976744186046512,0,28,0,28,0.5397793650627136,9.004095602449524e-08
XDU845,0.5,0.625,0.625,1.0,1,1,7.62939453125e-06,7.62939453125,0.8333333333333334,0.7142857142857143,0.7692307692307692,2,14,0,14,0.7149321436882019,8.040645298024174e-06
XDU557,0.5,0.7543859649122807,0.7543859649122807,1.0,2,2,3.814697265625e-06,3.814697265625,0.9885057471264368,0.7610619469026548,0.86,1,113,0,113,0.7659256458282471,2.957565584438271e-06
XDU775,0.5,0.6666666666666666,0.6666666666666666,1.0,1,1,1.52587890625e-05,15.2587890625,0.7777777777777778,0.8235294117647058,0.7999999999999999,4,17,0,17,0.8118142485618591,1.4891525097482372e-05
XDU56,0.5,0.4,0.4,1.0,1,1,0.0,0.0,1.0,0.4,0.5714285714285715,0,20,0,20,0.4131380021572113,1.1148027567742247e-07
XDU657,0.5,0.8,0.8,1.0,1,1,0.0,0.0,1.0,0.8,0.888888888888889,0,25,0,25,0.8172875046730042,1.2626892953448987e-07
XDU753,0.5,0.68,0.68,1.0,1,1,7.62939453125e-06,7.62939453125,0.8947368421052632,0.7391304347826086,0.8095238095238095,2,23,0,23,0.7408187985420227,8.215709385694936e-06
XDU788,0.5,0.6216216216216216,0.6216216216216216,0.875,7,8,0.000102996826171875,102.996826171875,0.71875,0.8214285714285714,0.7666666666666666,27,84,0,84,0.8198407292366028,0.00010547427518758923
XDU682,0.5,0.6,0.6,1.0,1,1,8.392333984375e-05,83.92333984375,0.6716417910447762,0.8490566037735849,0.7500000000000001,22,53,1,53,0.8440840244293213,8.290733239846304e-05
XDU794,0.5,0.24,0.24,1.0,1,1,6.4849853515625e-05,64.849853515625,0.2608695652173913,0.75,0.3870967741935483,17,8,3,8,0.7524880170822144,6.404053419828415e-05
XDU877,0.5,0.0,0.0,0.0,0,1,0.00014495849609375,144.95849609375,0.0,0.0,0.0,38,85,1,85,4.089122285222402e-06,0.0001491060247644782
XDU421,0.5,0.7560975609756098,0.7560975609756098,1.0,1,1,7.62939453125e-06,7.62939453125,0.9393939393939394,0.7948717948717948,0.8611111111111112,2,39,0,39,0.7983840703964233,7.810186616552528e-06
XDU733,0.5,0.03488372093023256,0.03488372093023256,1.0,1,1,0.00061798095703125,617.98095703125,0.03571428571428571,0.6,0.06741573033707865,162,10,4,10,0.6092063188552856,0.0006218942580744624
XDU546,0.5,0.7049180327868853,0.7049180327868853,1.0,1,1,1.1444091796875e-05,11.444091796875,0.9347826086956522,0.7413793103448276,0.826923076923077,3,58,0,58,0.7220698595046997,1.1800304491771385e-05
XDU999,0.5,0.5333333333333333,0.5333333333333333,1.0,1,1,1.1444091796875e-05,11.444091796875,0.7272727272727273,0.6666666666666666,0.6956521739130435,3,12,0,12,0.6607381701469421,1.0631942132022232e-05
XDU5,0.5,0.6956521739130435,0.6956521739130435,1.0,2,2,0.0,0.0,1.0,0.6956521739130435,0.8205128205128205,0,23,0,23,0.704584538936615,7.869868312582184e-08
XDU63,0.5,0.32098765432098764,0.32098765432098764,1.0,1,1,0.000186920166015625,186.920166015625,0.3466666666666667,0.8125,0.48598130841121495,49,32,9,32,0.7472977638244629,0.00024085439508780837
XDU966,0.5,0.6585365853658537,0.6585365853658537,1.0,1,1,2.288818359375e-05,22.88818359375,0.8181818181818182,0.7714285714285715,0.7941176470588236,6,35,0,35,0.7758469581604004,2.4599014068371616e-05
XDU922,0.5,0.5172413793103449,0.5172413793103449,1.0,1,1,1.1444091796875e-05,11.444091796875,0.8333333333333334,0.5769230769230769,0.6818181818181818,3,26,1,26,0.5766238570213318,9.08198217075551e-06
XDU789,0.5,0.6222222222222222,0.6222222222222222,1.0,1,1,1.1444091796875e-05,11.444091796875,0.9032258064516129,0.6666666666666666,0.7671232876712328,3,42,0,42,0.6565439105033875,1.150171556218993e-05
XDU295,0.5,0.25,0.25,0.5,1,2,0.0,0.0,1.0,0.25,0.4,0,92,0,92,0.2502550482749939,1.5848880252633535e-07
XDU863,0.5,0.7758620689655172,0.7758620689655172,1.0,1,1,2.6702880859375e-05,26.702880859375,0.8653846153846154,0.8823529411764706,0.8737864077669903,7,51,1,51,0.8825981020927429,2.6952715415973216e-05
XDU578,0.5,0.0,0.0,0.0,0,3,9.5367431640625e-05,95.367431640625,0.0,0.0,0.0,25,590,2,590,2.106437568727415e-05,9.886467159958556e-05
XDU743,0.5,0.0,0.0,0.0,0,2,0.000278472900390625,278.472900390625,0.0,0.0,0.0,73,63,2,63,0.00028541794745251536,0.0002963088918477297
XDU46,0.5,0.14285714285714285,0.14285714285714285,0.5,1,2,0.0,0.0,1.0,0.14285714285714285,0.25,0,77,0,77,0.14231479167938232,1.072127915335841e-07
XDU115,0.5,0.2777777777777778,0.2777777777777778,1.0,1,1,8.7738037109375e-05,87.738037109375,0.30303030303030304,0.7692307692307693,0.43478260869565216,23,13,1,13,0.7686049342155457,8.753610745770857e-05
XDU876,0.5,0.04395604395604396,0.04395604395604396,1.0,1,1,0.000324249267578125,324.249267578125,0.0449438202247191,0.6666666666666666,0.08421052631578947,85,6,5,6,0.727698802947998,0.0003466647176537663
XDU932,0.5,0.7065217391304348,0.7065217391304348,1.0,2,2,2.288818359375e-05,22.88818359375,0.9154929577464789,0.7558139534883721,0.8280254777070063,6,86,0,86,0.7459359169006348,2.9395394449238665e-05
XDU289,0.5,0.0,0.0,0.0,0,1,8.0108642578125e-05,80.108642578125,0.0,0.0,0.0,21,108,1,108,2.4231338102254085e-05,7.688711048103869e-05
XDU855,0.5,0.5254237288135594,0.5254237288135594,1.0,1,1,0.0,0.0,1.0,0.5254237288135594,0.688888888888889,0,59,0,59,0.5341067314147949,2.0431724578884314e-07
XDU933,0.5,0.4126984126984127,0.4126984126984127,0.6666666666666666,2,3,1.52587890625e-05,15.2587890625,0.8666666666666667,0.4406779661016949,0.5842696629213483,4,59,1,59,0.43918630480766296,2.132757072104141e-05
XDU517,0.5,0.8,0.8,1.0,1,1,0.0,0.0,1.0,0.8,0.888888888888889,0,10,0,10,0.8155876398086548,1.4024344352492335e-07
XDU329,0.5,0.7142857142857143,0.7142857142857143,1.0,1,1,0.0,0.0,1.0,0.7142857142857143,0.8333333333333333,0,14,0,14,0.7143882513046265,4.5531471926096856e-08
XDU3,0.5,0.26666666666666666,0.26666666666666666,1.0,1,1,4.9591064453125e-05,49.591064453125,0.48,0.375,0.42105263157894735,13,32,1,32,0.3750925064086914,5.136772233527154e-05
XDU451,0.5,0.48484848484848486,0.48484848484848486,0.6666666666666666,2,3,3.814697265625e-06,3.814697265625,0.9696969696969697,0.49230769230769234,0.653061224489796,1,65,0,65,0.48815563321113586,3.4835568385460647e-06
XDU694,0.5,0.7105263157894737,0.7105263157894737,1.0,2,2,3.814697265625e-06,3.814697265625,0.9642857142857143,0.7297297297297297,0.8307692307692307,1,37,0,37,0.7308828830718994,2.7184580631001154e-06
XDU878,0.5,0.15501519756838905,0.15501519756838905,0.0,0,1,0.0,0.0,1.0,0.15501519756838905,0.26842105263157895,0,329,0,329,0.15114715695381165,3.846916115435306e-06
XDU259,0.5,0.0,0.0,0.0,0,1,0.0002899169921875,289.9169921875,0.0,0.0,0.0,76,92,6,92,3.78159143110679e-06,0.00029457651544362307
XDU708,0.5,0.78125,0.78125,1.0,1,1,3.4332275390625e-05,34.332275390625,0.847457627118644,0.9090909090909091,0.8771929824561402,9,55,0,55,0.8965263962745667,3.214888056390919e-05
XDU442,0.5,0.6444444444444445,0.6444444444444445,1.0,1,1,1.52587890625e-05,15.2587890625,0.8787878787878788,0.7073170731707317,0.7837837837837839,4,41,3,41,0.6583681702613831,7.116582855815068e-05
XDU829,0.5,0.09836065573770492,0.09836065573770492,1.0,1,1,0.000141143798828125,141.143798828125,0.13953488372093023,0.25,0.1791044776119403,37,24,1,24,0.27634239196777344,0.00013735178799834102
XDU833,0.5,0.6901408450704225,0.6901408450704225,1.0,1,1,6.4849853515625e-05,64.849853515625,0.7424242424242424,0.9074074074074074,0.8166666666666667,17,54,1,54,0.9047631621360779,6.367074092850089e-05
XDU648,0.5,0.0,0.0,0.0,0,1,0.000164031982421875,164.031982421875,0.0,0.0,0.0,43,103,6,103,3.1200820558296982e-06,0.00022902069031260908
XDU381,0.5,0.47297297297297297,0.47297297297297297,1.0,1,1,4.9591064453125e-05,49.591064453125,0.7291666666666666,0.5737704918032787,0.6422018348623854,13,61,1,61,0.5882701277732849,5.0365742936264724e-05
XDU868,0.5,0.52,0.52,1.0,1,1,7.62939453125e-06,7.62939453125,0.8666666666666667,0.5652173913043478,0.6842105263157895,2,23,0,23,0.5652590990066528,6.60338355373824e-06
XDU803,0.5,0.5151515151515151,0.5151515151515151,1.0,1,1,1.1444091796875e-05,11.444091796875,0.85,0.5666666666666667,0.68,3,30,0,30,0.5815002918243408,1.1419772818044294e-05
XDU673,0.5,0.5294117647058824,0.5294117647058824,1.0,1,1,3.0517578125e-05,30.517578125,0.5294117647058824,1.0,0.6923076923076924,8,9,0,9,0.9989345073699951,2.8384276447468437e-05
XDU415,0.5,0.0,0.0,0.0,0,2,0.000179290771484375,179.290771484375,0.0,0.0,0.0,47,384,2,384,0.0011456107022240758,0.00021257443586364388
XDU997,0.5,0.0,0.0,0.0,0,1,4.57763671875e-05,45.7763671875,0.0,0.0,0.0,12,1065,2,1065,8.013126944206306e-07,4.6358178224181756e-05
XDU667,0.5,0.1724137931034483,0.1724137931034483,1.0,1,1,0.000148773193359375,148.773193359375,0.2777777777777778,0.3125,0.29411764705882354,39,48,2,48,0.3224022388458252,0.00015607649402227253
XDU968,0.5,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,31,0,31,0.00018962600734084845,9.815146768232808e-06
XDU169,0.5,0.352112676056338,0.352112676056338,1.0,2,2,0.0,0.0,1.0,0.352112676056338,0.5208333333333333,0,71,0,71,0.3557261526584625,7.399837897992256e-08
XDU525,0.5,0.5,0.5,1.0,1,1,0.0,0.0,1.0,0.5,0.6666666666666666,0,12,0,12,0.5000750422477722,2.1871272792850505e-07
XDU164,0.5,0.8666666666666667,0.8666666666666667,1.0,1,1,0.0,0.0,1.0,0.8666666666666667,0.9285714285714286,0,30,0,30,0.8752651214599609,1.0720121679241856e-07
XDU704,0.5,0.3150684931506849,0.3150684931506849,0.5,1,2,1.1444091796875e-05,11.444091796875,0.8846153846153846,0.32857142857142857,0.47916666666666663,3,70,0,70,0.32756540179252625,1.1484972674224991e-05
XDU711,0.5,0.5714285714285714,0.5714285714285714,1.0,4,4,4.57763671875e-05,45.7763671875,0.625,0.8695652173913043,0.7272727272727273,12,23,2,23,0.8550967574119568,4.58135073131416e-05
XDU111,0.5,0.6666666666666666,0.6666666666666666,1.0,1,1,0.0,0.0,1.0,0.6666666666666666,0.8,0,9,0,9,0.6666680574417114,7.122947920379374e-08
XDU354,0.5,0.6,0.6,1.0,1,1,3.814697265625e-06,3.814697265625,0.9473684210526315,0.6206896551724138,0.75,1,29,0,29,0.6228410005569458,2.757288712018635e-06
XDU927,0.5,0.7692307692307693,0.7692307692307693,1.0,2,2,1.9073486328125e-05,19.073486328125,0.8888888888888888,0.851063829787234,0.8695652173913044,5,47,0,47,0.8407739400863647,2.1141218894626945e-05
XDU758,0.5,0.38461538461538464,0.38461538461538464,1.0,1,1,2.6702880859375e-05,26.702880859375,0.4166666666666667,0.8333333333333334,0.5555555555555556,7,6,0,6,0.8332783579826355,2.536205283831805e-05
XDU87,0.5,0.3939393939393939,0.3939393939393939,1.0,1,1,0.0,0.0,1.0,0.3939393939393939,0.5652173913043478,0,33,0,33,0.3940439522266388,1.7345058722639806e-07
XDU697,0.5,0.48148148148148145,0.48148148148148145,1.0,1,1,3.814697265625e-06,3.814697265625,0.975,0.4875,0.65,1,80,0,80,0.4890737533569336,4.5798233259120025e-06
XDU957,0.5,0.43478260869565216,0.43478260869565216,1.0,1,1,0.00031280517578125,312.80517578125,0.4605263157894737,0.8860759493670886,0.606060606060606,82,79,5,79,0.8887209296226501,0.0003103349299635738
XDU49,0.5,0.0,0.0,0.0,0,1,0.000125885009765625,125.885009765625,0.0,0.0,0.0,33,63,2,63,0.00022247456945478916,0.00014710983668919653
XDU563,0.5,0.11764705882352941,0.11764705882352941,1.0,1,1,0.000186920166015625,186.920166015625,0.14035087719298245,0.42105263157894735,0.21052631578947367,49,19,3,19,0.3868139982223511,0.00018482431187294424
XDU954,0.5,0.5833333333333334,0.5833333333333334,1.0,1,1,3.814697265625e-06,3.814697265625,0.9333333333333333,0.6086956521739131,0.7368421052631579,1,23,0,23,0.6273096203804016,2.1616770027321763e-06
XDU45,0.5,0.6666666666666666,0.6666666666666666,1.0,2,2,3.4332275390625e-05,34.332275390625,0.7567567567567568,0.8484848484848485,0.8000000000000002,9,33,1,33,0.8481405377388,3.6474710213951766e-05
XDU429,0.5,0.4448669201520912,0.4448669201520912,0.0,0,1,3.814697265625e-06,3.814697265625,0.9915254237288136,0.44656488549618323,0.6157894736842106,1,262,0,262,0.44730186462402344,5.504557975655189e-06
XDU902,0.5,0.53125,0.53125,1.0,2,2,1.9073486328125e-05,19.073486328125,0.7727272727272727,0.6296296296296297,0.6938775510204083,5,27,0,27,0.6301158666610718,1.6195317584788427e-05
