image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000730,0.7727272727272727,0.7352941176470589,1.0,1.0,0.8947368421052632,0.8620689655172413,91.552734375,122.0703125,0,0,2,2,0,0,2,2,0.6453050374984741,1.0,1.0,0,0.5630822777748108
000909,0.8080808080808081,0.7596153846153846,1.0,1.0,0.8247422680412371,0.7821782178217822,259.3994140625,335.693359375,1,1,6,2,1,1,1,0,0.6827832460403442,1.0,0.9999999403953552,1,0.7643575668334961
000167,0.75,0.6909090909090909,1.0,1.0,0.8666666666666667,0.8085106382978723,91.552734375,137.3291015625,0,0,3,2,0,0,1,3,0.43104034662246704,0.0,1.0,0,0.600468635559082
000737,0.704225352112676,0.7534246575342466,1.0,1.0,0.8620689655172413,0.8461538461538461,122.0703125,152.587890625,0,0,2,2,0,0,1,2,0.6356173753738403,1.0,1.0,0,0.6136038303375244
000666,0.7111111111111111,0.6595744680851063,1.0,1.0,0.8205128205128205,0.775,106.8115234375,137.3291015625,0,0,2,2,0,0,1,2,0.7263910174369812,1.0,0.9210526347160339,0,0.5338661670684814
000709,0.8545454545454545,0.8070175438596491,1.0,1.0,0.94,0.9019607843137255,45.7763671875,76.2939453125,0,0,3,2,1,1,1,3,0.5690476298332214,0.5,0.46153849363327026,0,0.5633464455604553
000781,0.6052631578947368,0.55,1.0,1.0,0.696969696969697,0.6470588235294118,152.587890625,183.10546875,0,0,2,2,0,0,1,2,0.6081244349479675,0.5,0.8571429252624512,0,0.7151370644569397
000860,0.7692307692307693,0.7142857142857143,1.0,1.0,0.8695652173913043,0.8,45.7763671875,76.2939453125,0,0,2,2,0,0,1,2,0.5835019946098328,1.0,0.695652186870575,0,0.7686086893081665
000967,0.7,0.6814159292035398,1.0,1.0,0.7623762376237624,0.7403846153846154,366.2109375,411.9873046875,1,1,4,2,1,1,1,0,0.5523069500923157,1.0,1.0,1,0.5578280687332153
000480,0.926829268292683,0.928,1.0,1.0,0.957983193277311,0.943089430894309,76.2939453125,106.8115234375,0,0,2,2,0,0,1,2,0.733514130115509,1.0,1.0,0,0.7661323547363281
000817,0.7560975609756098,0.6976744186046512,1.0,1.0,0.8611111111111112,0.8108108108108109,76.2939453125,106.8115234375,0,0,2,2,0,0,1,2,0.7582496404647827,1.0,1.0,0,0.7474086284637451
000110,0.7297297297297297,0.65,1.0,1.0,0.84375,0.7647058823529411,76.2939453125,122.0703125,0,0,3,2,0,0,1,3,0.7739616632461548,1.0,1.0,0,0.6256128549575806
001303,0.9047619047619048,0.890625,1.0,1.0,0.9193548387096774,0.9047619047619048,76.2939453125,91.552734375,0,0,2,2,1,1,0,2,0.9889376163482666,1.0,1.0,0,0.8431481719017029
000701,0.5076923076923077,0.5151515151515151,1.0,1.0,0.66,0.6538461538461539,259.3994140625,274.658203125,0,0,2,2,1,1,0,2,0.5269909501075745,0.5,0.2916666865348816,0,0.489594042301178
000313,0.9418604651162791,0.9101123595505618,1.0,1.0,0.9642857142857143,0.9310344827586207,45.7763671875,91.552734375,0,0,3,2,0,0,0,3,0.8824227452278137,1.0,0.9999999403953552,0,0.7815917730331421
