image_name,candidate_pixels,target_leakage_pixels,target_protect_pixels,boundary_protect_pixels,ohem_negative_pixels,ohem_overlap_pixels,ohem_overlap_fraction,far_hard_logit_mean,far_hard_prob_mean
000956,323,0,84,224,654,323,1.0,-12.079429626464844,8.044425158004742e-06
000570,323,0,71,194,654,323,1.0,-11.015467643737793,3.996524537797086e-05
000116,323,0,34,162,655,316,0.978328173374613,-12.715575218200684,4.139662451052573e-06
000350,325,0,5,72,655,325,1.0,-13.144128799438477,2.628082938826992e-06
000276,323,0,98,233,654,323,1.0,-11.318041801452637,1.5943824109854177e-05
001022,323,0,60,198,654,323,1.0,-9.864147186279297,0.00015839215484447777
000369,325,0,5,72,655,325,1.0,-12.469106674194336,5.156975475983927e-06
001225,325,0,9,72,655,325,1.0,-12.412779808044434,5.564017556025647e-06
000129,325,0,19,96,655,325,1.0,-12.067252159118652,7.358350103459088e-06
000947,323,0,67,205,654,323,1.0,-11.531457901000977,1.1932829693250824e-05
000800,322,0,32,174,655,190,0.5900621118012422,-13.2988920211792,2.17633237298287e-06
000154,322,0,42,192,654,266,0.8260869565217391,-13.15485954284668,3.524979319990962e-06
001168,325,0,9,72,655,172,0.5292307692307693,-14.220991134643555,1.2304493566261954e-06
000602,323,0,58,182,654,323,1.0,-10.465076446533203,8.115354285109788e-05
000210,321,0,62,216,654,315,0.9813084112149533,-12.171427726745605,9.416969078301918e-06
001284,324,0,46,154,654,324,1.0,-11.771263122558594,1.1157086191815324e-05
000534,325,0,19,96,655,325,1.0,-11.775397300720215,9.129516911343671e-06
000814,322,0,36,192,655,322,1.0,-13.721902847290039,1.2127994750699145e-06
000846,322,0,42,192,654,250,0.7763975155279503,-13.26417064666748,2.309159981450648e-06
001132,325,0,9,72,655,162,0.49846153846153846,-14.372004508972168,8.021625603760185e-07
000257,323,0,69,192,654,323,1.0,-11.909361839294434,2.3818416593712755e-05
000688,322,0,43,204,654,322,1.0,-11.20821762084961,1.8217042452306487e-05
